"#","Team Name","User","Points","League Rank","Record"
"1","TaylorMade Touchdowns","dcpavone","237.16","1","2-0-0"
"2","Redacted","bcym19","224.90","1","2-0-0"
"3","Darts at the Strib Club","thesayheykid","223.70","1","2-0-0"
"4","Miz The Shizz","themiz","223.56","1","2-0-0"
"5","Ashton Powers","toomuchsodapop","221.46","1","2-0-0"
"6","rockinmtnrhinos","rockinmtnrhinos","220.32","1","2-0-0"
"7","jeffrobaker98","jeffrobaker98","218.52","1","2-0-0"
"8","connerweber96","connerweber96","217.92","1","2-0-0"
"9","The Maye Flowers","hvff","217.52","1","2-0-0"
"10","ashevilleclark","ashevilleclark","216.50","1","2-0-0"
"11","Show Me Your TD’s","bswisher7","216.20","1","2-0-0"
"12","Love, The Yeti","rickyx3","214.96","1","2-0-0"
"13","Likely a Sun God","aldoraines16","214.54","1","2-0-0"
"14","Likely Swift","jwwangen","214.26","1","2-0-0"
"15","jbnelson2","jbnelson2","213.26","1","2-0-0"
"16","babyfacedvandal","babyfacedvandal","212.96","1","2-0-0"
"17","teamtravis2","teamtravis2","212.50","1","2-0-0"
"18","theansweruab","theansweruab","212.40","1","2-0-0"
"19","daejon's deceivers","sburteaux","212.12","1","2-0-0"
"20","packjutson","packjutson","211.82","1","2-0-0"
"21","Kenneth walk on me","gabladouce","210.56","1","2-0-0"
"22","dale99","dale99","210.36","1","2-0-0"
"23","It Hurts To Wicks","blear91","210.02","1","2-0-0"
"24","joshlg","joshlg","209.76","1","2-0-0"
"25","Im Sorry Smith Jaxon","jaredmc7","209.66","1","2-0-0"
"26","Babbling Brooks","ragingrivers","209.60","1","2-0-0"
"27","Effucktive","yanada","208.76","1","2-0-0"
"28","Sunday Scaries","jryanjr38","207.54","1","2-0-0"
"29","Not Ben Reeves","reebes37","207.02","1","2-0-0"
"30","Punk Frogs","bentonthered","206.46","1","2-0-0"
"31","oldschoolrules","oldschoolrules","205.90","1","2-0-0"
"32","Burrow My Woody","pugehenis69420","205.86","1","2-0-0"
"33","blingoblue","blingoblue","205.76","1","2-0-0"
"34","ravenousd","ravenousd","205.76","1","2-0-0"
"35","triklb","triklb","205.16","1","2-0-0"
"36","coryjoconnor","coryjoconnor","204.96","1","2-0-0"
