"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Jahmyr Gibbs","DET","RB","RB","1.02","1.02","1.01","1.01","1.01"
"[object Object]","Bijan Robinson","ATL","RB","RB","1.02","1.03","1.02","1.02","1.02"
"[object Object]","Ja'Marr Chase","CIN","WR","WR","1.04","1.04","1.04","1.03","1.03"
"[object Object]","Christian McCaffrey","SF","RB","RB","1.05","1.04","1.08","1.06","1.06"
"[object Object]","Puka Nacua","LAR","WR","WR","1.05","1.06","1.05","1.05","1.04"
"[object Object]","Jonathan Taylor","IND","RB","RB","1.06","1.05","1.07","1.07","1.08"
"[object Object]","Amon-Ra St. Brown","DET","WR","WR","1.08","1.08","1.08","1.08","1.07"
"[object Object]","Jaxon Smith-Njigba","SEA","WR","WR","1.08","1.09","1.06","1.07","1.06"
"[object Object]","James Cook III","BUF","RB","RB","1.09","1.08","1.11","1.10","1.10"
"[object Object]","Saquon Barkley","PHI","RB","RB","1.11","1.10","2.02","1.12","2.01"
"[object Object]","CeeDee Lamb","DAL","WR","WR","1.11","1.12","1.12","1.11","1.10"
"[object Object]","Justin Jefferson","MIN","WR","WR","2.01","2.01","2.01","2.01","1.11"
"[object Object]","De'Von Achane","MIA","RB","RB","2.02","2.02","1.12","2.03","2.05"
"[object Object]","Ashton Jeanty","LV","RB","RB","2.03","2.02","2.09","2.04","2.04"
"[object Object]","Kenneth Walker","KC","RB","RB","2.05","2.06","2.12","2.04","2.02"
"[object Object]","Chase Brown","CIN","RB","RB","2.05","2.06","2.06","2.04","2.02"
"[object Object]","Derrick Henry","BAL","RB","RB","2.05","2.05","2.05","2.06","2.05"
"[object Object]","Omarion Hampton","LAC","RB","RB","2.05","2.04","2.09","2.07","2.04"
"[object Object]","Drake London","ATL","WR","WR","2.08","2.09","2.08","2.07","2.11"
"[object Object]","Josh Allen","BUF","QB","QB","2.08","2.09","2.08","2.08","4.02"
"[object Object]","Brock Bowers","LV","TE","TE","2.10","2.10","2.12","2.09","2.08"
"[object Object]","A.J. Brown","NE","WR","WR","2.10","2.07","2.11","2.12","2.07"
"[object Object]","Nico Collins","HOU","WR","WR","2.11","2.11","3.02","2.10","2.10"
"[object Object]","George Pickens","DAL","WR","WR","2.11","2.12","3.05","2.10","2.12"
"[object Object]","Trey McBride","ARI","TE","TE","3.02","3.02","2.10","3.02","3.06"
"[object Object]","Kyren Williams","LAR","RB","RB","3.03","3.01","4.02","3.05","3.07"
"[object Object]","Jeremiyah Love","ARI","RB","RB","3.04","3.03","3.01","3.05","3.04"
